City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
krasnyy yar,94,RU,1642701785,88,46.5331,48.3456,15.73,6.08
butaritari,79,KI,1642701209,71,3.0707,172.7902,81.66,17.43
camacha,20,PT,1642701785,55,33.0833,-16.3333,63.36,24.16
port hardy,100,CA,1642701291,93,50.6996,-127.4199,44.76,10.36
ushuaia,1,AR,1642701100,33,-54.8,-68.3,67.62,4.43
luanda,20,AO,1642701146,65,-8.8368,13.2343,80.6,9.22
birjand,0,IR,1642701786,59,32.8663,59.2211,42.85,5.44
vardo,20,NO,1642701478,93,70.3705,31.1107,26.8,9.22
mahebourg,40,MU,1642701427,89,-20.4081,57.7,81.25,4.61
vaini,5,TO,1642701393,80,-21.2,-175.2,81.37,19.51
tuktoyaktuk,75,CA,1642701387,75,69.4541,-133.0374,-25.6,14.97
gizo,100,SB,1642701786,82,-8.103,156.8419,79.7,4.68
mataura,100,NZ,1642701390,96,-46.1927,168.8643,54.48,7.09
ribeira grande,20,PT,1642701410,82,38.5167,-28.7,64.8,17.27
port hedland,75,AU,1642701451,79,-20.3167,118.5667,86.05,9.22
boueni,100,YT,1642701787,76,-12.9025,45.0761,76.98,14.94
southport,20,GB,1642701787,78,53.6478,-3.0065,39.18,5.75
bhiwani,3,IN,1642701787,77,28.7833,76.1333,52.83,3.91
hilo,100,US,1642701293,91,19.7297,-155.09,70.25,3.44
luderitz,22,NA,1642701504,66,-26.6481,15.1594,73.92,12.86
grindavik,100,IS,1642701500,100,63.8424,-22.4338,46.87,24.16
malindi,100,KE,1642701788,78,-3.2175,40.1191,80.35,12.62
nikolskoye,100,RU,1642701394,93,59.7035,30.7861,34.88,7.56
deputatskiy,61,RU,1642701206,75,69.3,139.9,-20.76,3.94
nago,42,JP,1642701788,65,26.5881,127.9761,59.07,11.25
atuona,52,PF,1642701410,75,-9.8,-139.0333,78.51,23.2
kapaa,32,US,1642701419,80,22.0752,-159.319,73.2,5.37
itarema,91,BR,1642701789,62,-2.9248,-39.9167,85.62,14.12
laguna,0,US,1642701503,83,38.421,-121.4238,61.63,1.01
ifanadiana,100,MG,1642701789,98,-21.3,47.6333,66.78,0.98
quatre cocos,43,MU,1642701411,82,-20.2078,57.7625,81.09,9.66
hermanus,0,ZA,1642701417,76,-34.4187,19.2345,68.9,4.7
marawi,96,PH,1642701565,92,7.9986,124.2928,64.65,2.15
albany,61,US,1642701220,57,42.6001,-73.9662,29.44,5.01
rikitea,100,PF,1642701385,75,-23.1203,-134.9692,78.44,9.55
port alfred,6,ZA,1642701396,86,-33.5906,26.891,76.14,9.31
cayenne,75,GF,1642701404,82,4.9333,-52.3333,84.24,4.0
jamestown,100,US,1642701189,54,42.097,-79.2353,18.52,5.99
chokurdakh,57,RU,1642701458,96,70.6333,147.9167,-32.6,7.38
hobart,12,AU,1642701428,87,-42.8794,147.3294,56.05,3.0
geraldton,0,AU,1642701791,68,-28.7667,114.6,68.41,5.75
busselton,52,AU,1642701395,63,-33.65,115.3333,79.09,9.01
maceio,20,BR,1642701618,55,-9.6658,-35.7353,89.04,13.8
katsuura,1,JP,1642701345,52,35.1333,140.3,38.19,20.11
hami,100,CN,1642701452,41,42.8,93.45,28.27,3.71
port elizabeth,75,ZA,1642701422,88,-33.918,25.5701,76.1,17.27
jumla,94,NP,1642701472,95,29.2747,82.1838,32.11,2.71
dakar,23,SN,1642701650,58,14.6937,-17.4441,92.28,12.37
juneau,100,US,1642701792,98,58.3019,-134.4197,37.85,8.01
guasdualito,75,VE,1642701792,30,7.2424,-70.7324,95.5,6.93
bredasdorp,0,ZA,1642701390,64,-34.5322,20.0403,69.12,10.36
sabha,23,LY,1642701792,43,27.0377,14.4283,53.94,7.23
la ronge,75,CA,1642701453,71,55.1001,-105.2842,-5.58,8.05
tasiilaq,100,GL,1642701405,97,65.6145,-37.6368,29.77,20.98
bluff,100,NZ,1642701388,74,-46.6,168.3333,54.81,17.11
mar del plata,100,AR,1642701443,93,-38.0023,-57.5575,74.08,5.01
tuatapere,100,NZ,1642701403,89,-46.1333,167.6833,54.82,9.55
solwezi,98,ZM,1642701793,97,-12.1688,26.3894,62.42,4.32
berlevag,97,NO,1642701793,77,70.8578,29.0864,33.8,32.59
lixourion,75,GR,1642701794,71,38.2019,20.4314,55.4,4.61
lebu,0,CL,1642701423,55,-37.6167,-73.65,61.93,9.22
saint george,0,US,1642701433,45,37.1041,-113.5841,49.62,1.01
saskylakh,54,RU,1642701460,99,71.9167,114.0833,-22.65,6.15
monrovia,92,LR,1642701794,70,6.3005,-10.7969,85.77,10.8
colares,0,PT,1642701497,49,38.7992,-9.4469,60.64,1.99
qaanaaq,96,GL,1642701386,61,77.484,-69.3632,7.2,7.43
zhanaozen,100,KZ,1642701795,92,43.3,52.8,32.61,13.91
fergus falls,0,US,1642701795,74,46.283,-96.0776,-7.62,4.61
yasnyy,89,RU,1642701795,99,51.0333,59.8742,-2.38,4.16
puerto ayora,98,EC,1642701415,85,-0.7393,-90.3518,84.16,8.7
cherskiy,34,RU,1642701513,99,68.75,161.3,-38.25,2.89
yellowknife,100,CA,1642701131,77,62.456,-114.3525,-10.68,8.05
east london,0,ZA,1642701421,78,-33.0153,27.9116,79.74,8.05
hamilton,30,US,1642701372,54,39.1834,-84.5333,28.74,1.01
bathsheba,40,BB,1642701467,58,13.2167,-59.5167,84.81,24.16
pindiga,40,NG,1642701796,22,9.9833,10.9333,71.08,7.4
myitkyina,96,MM,1642701797,98,25.3833,97.4,56.52,3.36
bandundu,62,CD,1642701797,72,-3.3167,17.3667,78.85,3.18
dingle,64,PH,1642701284,93,10.9995,122.6711,72.84,7.52
kefamenanu,100,ID,1642701797,96,-9.4467,124.4781,71.1,1.83
souillac,40,MU,1642701438,89,-20.5167,57.5167,81.36,4.61
aswan,0,EG,1642701547,35,24.0934,32.907,58.3,12.66
ponta do sol,100,PT,1642701419,32,32.6667,-17.1,69.12,16.55
sitka,75,US,1642701464,93,57.0531,-135.33,39.09,12.66
arraial do cabo,0,BR,1642701448,74,-22.9661,-42.0278,87.76,20.71
beringovskiy,4,RU,1642701344,88,63.05,179.3167,-20.56,11.41
carnarvon,11,AU,1642701397,73,-24.8667,113.6333,78.87,12.66
cape town,0,ZA,1642701106,64,-33.9258,18.4232,70.21,3.0
alofi,51,NU,1642701502,83,-19.0595,-169.9187,78.69,13.8
yanam,9,IN,1642701798,93,16.7333,82.2167,67.78,2.44
yulara,84,AU,1642701484,78,-25.2406,130.9889,73.24,12.66
diu,0,IN,1642701616,86,20.7141,70.9822,70.03,12.15
marsa matruh,40,EG,1642701432,62,31.3525,27.2453,55.6,4.61
